Node ID,Is_Origin,Is_Destination,Origin_SA1,Origin_SA2,Destination_SA1,Destination_SA2,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight
275,0,0,0,0,0,0,collapsed_41333_275_41317,41317,50.01155653106733,28375668,22809,73.47103992000802,collapsed_82373_275_82374,82374,30.436616046099537,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,0,0,0,0,0,0,4745432,278,126.19283247531814,1043609399_rev,12590,49.10005522420538,1043609402_rev,44567,33.5975308621123,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,0,0,0,0,0,0,4745432_rev,277,126.19283247531814,955197069,103131,30.826818183700787,collapsed_103130_32420_278,32420,41.62154013188571,1043609398,103133,21.442577352818066,,,,,,,,,,,,,,,,,,,,,,,,
279,0,0,0,0,0,0,collapsed_280_279_49360,49360,64.82893317892277,119559366_rev,49357,10.739831614104697,156593084_rev,52301,100.4088387026682,232126146,58382,7.304258544637196,,,,,,,,,,,,,,,,,,,,,,,,
281,0,0,0,0,0,0,4748069,282,67.90921703985389,collapsed_50711_281_154566,154566,219.2286905214668,collapsed_57730_281_52230,52230,441.04827440608256,collapsed_26821_281_57733,57733,571.7193474596323,,,,,,,,,,,,,,,,,,,,,,,,
282,0,0,0,0,0,0,4748069_rev,281,67.90921703985389,collapsed_32987_282_26812,26812,275.5133640009052,collapsed_40781_282_30716,30716,1615.7643706381896,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,0,0,0,0,0,0,4748208,286,124.53553527177,collapsed_17577_285_17587,17587,660.3780463101898,330348281_rev,29750,126.53816051181657,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,0,0,0,0,0,0,4748208_rev,285,124.53553527177,27507731,5848,156.20735755647038,582937344,56565,8.879586170096363,582937345_rev,29750,9.87842896256527,,,,,,,,,,,,,,,,,,,,,,,,
295,0,0,0,0,0,0,4749324,296,14.535719265568948,212967872_rev,57040,23.370927510940902,collapsed_83038_3058_295,3058,123.78018465910878,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,0,0,0,0,0,0,4749324_rev,295,14.535719265568948,23430688,11380,47.32801043891811,183665951,57040,12.389494838564307,collapsed_83036_296_96182,96182,131.2230332768036,,,,,,,,,,,,,,,,,,,,,,,,
297,0,0,0,0,0,0,collapsed_83299_297_11378,11378,304.27021967667605,540629340_rev,81623,34.1339249137006,569438269_rev,62631,28.622357342424877,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,0,0,0,0,0,0,4749368,321,36.807795097082746,collapsed_51173_320_95005,95005,79.08034798026677,collapsed_83226_320_51179,51179,82.50512829738948,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,0,0,0,0,0,0,4749368_rev,320,36.807795097082746,collapsed_12961_12962_321,12962,142.25106058114775,collapsed_46003_41015_321,41015,363.7389065939211,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,0,0,0,0,0,0,4749371,325,277.2463293525777,782628717,58331,36.55124569083539,collapsed_23_8536_324,8536,363.4031826882699,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,0,0,0,0,0,0,4749371_rev,324,277.2463293525777,384941715,75724,241.71314398851445,collapsed_181358_56054_325,56054,696.932513772663,collapsed_190056_325_112078,112078,60.1129965853152,,,,,,,,,,,,,,,,,,,,,,,,
328,0,0,0,0,0,0,4749380,328,0.0,4749380_rev,328,0.0,collapsed_19432_328_330,330,70.44938738910905,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,0,0,0,0,0,0,collapsed_41172_41171_330,41171,99.2485291991078,collapsed_73863_330_78841,78841,558.0412625736213,collapsed_19431_330_41171,41171,100.39009514532387,collapsed_19432_328_330,328,70.44938738910905,,,,,,,,,,,,,,,,,,,,,,,,
333,0,0,0,0,0,0,collapsed_94480_14106_333,14106,407.02374241928726,collapsed_14052_333_44386,44386,397.15968735335707,collapsed_189024_333_1318,1318,3973.9680447358755,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,0,0,0,0,0,0,4749401,338,31.676432366752213,53788600,13899,99.28720198340804,collapsed_57898_57897_337,57897,21.537540761373084,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,0,0,0,0,0,0,4749401_rev,337,31.676432366752213,25376657,13901,66.50391775606373,782545228,14115,14.395227290976873,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,0,0,0,0,0,0,collapsed_27670_346_27671,27671,604.7243058683497,4749415,351,258.1691756775241,144938120,11655,247.98833624060762,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,0,0,0,0,0,0,4749415_rev,346,258.1691756775241,98368307_rev,5716,106.20435761808652,collapsed_232_11655_351,11655,387.29645204423895,collapsed_5717_5716_351,5716,340.87187456824165,,,,,,,,,,,,,,,,,,,,,,,,
367,0,0,0,0,0,0,collapsed_63735_63737_367,63737,193.16997109791703,168809687_rev,49388,122.80185659754885,collapsed_49668_27298_367,27298,261.9468248917948,761351172_rev,5768,13.23604108527333,,,,,,,,,,,,,,,,,,,,,,,,
379,0,0,0,0,0,0,4749435,380,171.20432290846807,collapsed_95796_379_44708,44708,76.4645397135708,collapsed_78491_379_59743,59743,84.52300076524662,,,,,,,,,,,,,,,,,,,,,,,,,,,
