ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749371,no,,,30,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749373,lane,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749380,,,,60,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749386,no,,,60,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749391,no,,,60,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749394,no,,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749399,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749401,,,,60,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749403,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749408,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749409,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749410,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749412,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749414,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749415,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749418,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749419,,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749420,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749421,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749422,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749423,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749424,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749425,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749426,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749428,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749429,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749430,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
